fold,sample_idx,gaia_index,fti_pred,rcl_pred,rcl_pred_service,n_real_services,has_raw_log,metric_top1_service,metric_top1_service_idx,metric_top1_weight,metric_top1_lift,metric_top1_is_rcl_pred,metric_top1_n_events,trace_top1_service,trace_top1_service_idx,trace_top1_weight,trace_top1_lift,trace_top1_is_rcl_pred,trace_top1_n_events,log_top1_service,log_top1_service_idx,log_top1_weight,log_top1_lift,log_top1_is_rcl_pred,log_top1_n_events,winning_modality,rcl_true,fti_true,rcl_correct,fti_correct
0,0,1,3.0,0,dbservice1,10,False,dbservice1,0,0.09671735763549805,0.9671735763549805,True,0,dbservice1,0,0.11455607414245605,1.1455607414245605,True,0,logservice1,2,0.10959438979625702,1.0959438979625702,False,0,trace,0,4,True,False
0,1,6,2.0,4,mobservice1,10,True,mobservice1,4,0.16075670719146729,1.6075670719146729,True,40,mobservice1,4,0.29604706168174744,2.9604706168174744,True,7,redisservice2,7,0.18572284281253815,1.8572284281253815,False,5,trace,9,3,False,False
0,2,8,2.0,4,mobservice1,10,True,mobservice1,4,0.19250822067260742,1.9250822067260742,True,58,mobservice1,4,0.26378053426742554,2.6378053426742554,True,7,redisservice2,7,0.18114572763442993,1.8114572763442993,False,5,trace,6,3,False,False
0,3,14,2.0,4,mobservice1,10,True,mobservice1,4,0.18183159828186035,1.8183159828186035,True,28,dbservice2,1,0.19700326025485992,1.9700326025485992,False,1,dbservice1,0,0.2089252769947052,2.089252769947052,False,4,log,4,2,True,True
0,4,26,2.0,4,mobservice1,10,True,mobservice1,4,0.1706838607788086,1.706838607788086,True,15,mobservice1,4,0.344210684299469,3.44210684299469,True,3,dbservice1,0,0.17952080070972443,1.7952080070972443,False,5,trace,4,2,True,True
0,5,27,2.0,4,mobservice1,10,False,mobservice1,4,0.1798238754272461,1.798238754272461,True,16,mobservice1,4,0.2989356219768524,2.989356219768524,True,3,logservice1,2,0.10959438979625702,1.0959438979625702,False,0,trace,4,2,True,True
0,6,35,2.0,4,mobservice1,10,True,mobservice1,4,0.1915454864501953,1.9154548645019531,True,24,mobservice1,4,0.2709183990955353,2.709183990955353,True,4,redisservice2,7,0.16111528873443604,1.6111528873443604,False,3,trace,4,2,True,True
0,7,36,2.0,4,mobservice1,10,True,mobservice1,4,0.1903667449951172,1.9036674499511719,True,24,mobservice1,4,0.2925271689891815,2.925271689891815,True,3,dbservice1,0,0.168439120054245,1.68439120054245,False,5,trace,4,2,True,True
0,8,42,2.0,4,mobservice1,10,True,mobservice1,4,0.1622610092163086,1.622610092163086,True,16,mobservice1,4,0.28625378012657166,2.8625378012657166,True,4,dbservice1,0,0.20349696278572083,2.0349696278572083,False,4,trace,4,2,True,True
0,9,44,2.0,4,mobservice1,10,True,mobservice1,4,0.1661515235900879,1.661515235900879,True,28,mobservice1,4,0.2474754899740219,2.474754899740219,True,4,redisservice2,7,0.1554618924856186,1.554618924856186,False,4,trace,4,2,True,True
