,precision,recall,f1-score,support
dbservice1,0.25,0.0625,0.1,16.0
dbservice2,0.10526315789473684,0.21052631578947367,0.14035087719298245,19.0
logservice1,0.0,0.0,0.0,13.0
logservice2,0.0,0.0,0.0,12.0
mobservice1,0.8104817363684489,0.9795265515035189,0.8870220162224797,1563.0
mobservice2,0.9731437598736177,0.7897435897435897,0.8719037508846426,1560.0
redisservice1,0.0,0.0,0.0,12.0
redisservice2,0.0,0.0,0.0,11.0
webservice1,0.23076923076923078,0.16666666666666666,0.1935483870967742,18.0
webservice2,0.17647058823529413,0.17647058823529413,0.17647058823529413,17.0
accuracy,0.8559086701635298,0.8559086701635298,0.8559086701635298,0.8559086701635298
macro avg,0.2546128473141328,0.23854337119385427,0.2369295619632173,3241.0
weighted avg,0.8633264626660214,0.8559086701635298,0.850766985612523,3241.0
